,1,5,4,3,2,6,12,11,10,9,8,7,15,13,31,14,16,17,19,18,24,23,22,21,20,25,26,30,29,28,27
1,0,835.33,828.66,1031.14,834.18,873.22,1249.89,1250.33,1243.66,1445.56,1224.18,1603.66,1390.15,1893.71,1703.68,1818.9,3390.69,3535.67,3838.28,3223.34,2948.99,2465.86,2334.95,2122.88,2122.88,4110.13,4412.8,3191.78,2709.26,2709.26,2506.22
5,835.33,0,6.67,609.71,808.05,1089.84,779.78,415,408.33,611.38,811.38,1442.2,762.36,1784.97,1395.9,984.71,3281.95,3426.93,3729.54,3114.6,2840.25,2357.12,2226.21,2014.14,2014.14,4001.39,4304.06,3083.04,2600.52,2600.52,2397.48
4,828.66,6.67,0,616.38,814.71,1083.18,786.44,421.67,415,618.05,818.05,1448.87,769.02,1791.64,1402.57,991.38,3288.62,3433.6,3736.2,3121.27,2846.92,2363.79,2232.88,2020.81,2020.81,4008.05,4310.73,3089.71,2607.19,2607.19,2404.14
3,1031.14,609.71,616.38,0,609.71,876.8,991.44,624.71,618.05,415,613.05,1243.87,972.07,1586.64,1217.01,788.33,3083.62,3228.6,3531.2,2916.27,2641.92,2158.79,2027.88,1815.81,1815.81,3803.05,4105.73,2884.71,2402.19,2402.19,2199.14
2,834.18,808.05,814.71,609.71,0,679.84,1189.78,823.05,816.38,611.38,390,1018.87,1170.4,1361.64,993.97,984.71,2858.62,3003.6,3306.2,2691.27,2416.92,1933.79,1802.88,1590.81,1590.81,3578.05,3880.73,2659.71,2177.19,2177.19,1974.14
6,873.22,1089.84,1083.18,876.8,679.84,0,1639.17,1272.45,1265.78,1060.78,837.45,1073.55,1577.08,1020.49,1173.57,1389.44,2517.47,2662.45,2965.06,2350.13,2075.78,1592.65,1461.74,1249.66,1249.66,3236.91,3539.58,2318.57,1836.05,1836.05,1633
12,1249.89,779.78,786.44,991.44,1189.78,1639.17,0,713.09,719.75,924.75,1148.09,1605.21,365.73,1988.1,1186.09,881.42,3485.08,3630.06,3932.67,3317.73,3043.38,2560.26,2594.71,2395.87,2395.87,4204.52,4507.19,3286.17,2974.71,2974.71,2779.2
11,1250.33,415,421.67,624.71,823.05,1272.45,713.09,0,6.67,613.05,826.38,1293.5,347.36,1676.4,980.9,569.71,3173.38,3318.36,3620.96,3006.03,2731.68,2248.55,2241.21,2029.14,2029.14,3892.81,4195.49,2974.47,2615.52,2615.52,2412.48
10,1243.66,408.33,415,618.05,816.38,1265.78,719.75,6.67,0,619.71,819.71,1300.17,354.02,1683.06,987.57,576.38,3180.04,3325.02,3627.63,3012.69,2738.34,2255.22,2234.55,2022.48,2022.48,3899.48,4202.15,2981.13,2608.86,2608.86,2405.81
9,1445.56,611.38,618.05,415,611.38,1060.78,924.75,613.05,619.71,0,614.71,1095.17,559.02,1478.06,803.97,373.33,2975.04,3120.02,3422.63,2807.69,2533.34,2050.22,2029.55,1817.48,1817.48,3694.48,3997.15,2776.13,2403.86,2403.86,2200.81
8,1224.18,811.38,818.05,613.05,390,837.45,1148.09,826.38,819.71,614.71,0,895.17,782.36,1278.06,603.97,594.71,2775.04,2920.02,3222.63,2607.69,2333.34,1850.22,1806.21,1594.14,1594.14,3494.48,3797.15,2576.13,2180.52,2180.52,1977.48
7,1603.66,1442.2,1448.87,1243.87,1018.87,1073.55,1605.21,1293.5,1300.17,1095.17,895.17,0,1239.48,382.89,835.97,1051.84,1879.87,2024.85,2327.46,1712.52,1438.17,955.04,989.5,990.11,990.11,2599.31,2901.98,1680.96,1369.5,1369.5,1373.44
15,1390.15,762.36,769.02,972.07,1170.4,1577.08,365.73,347.36,354.02,559.02,782.36,1239.48,0,1622.37,924.93,515.69,3119.35,3264.33,3566.94,2952,2677.65,2194.52,2228.98,2229.59,2229.59,3838.79,4141.46,2920.44,2608.98,2608.98,2612.92
13,1893.71,1784.97,1791.64,1586.64,1361.64,1020.49,1988.1,1676.4,1683.06,1478.06,1278.06,382.89,1622.37,0,1218.86,1434.73,1496.98,1641.96,1944.57,1329.63,1055.28,572.15,606.61,809.25,809.25,2216.41,2519.09,1298.07,986.61,986.61,1189.66
31,1703.68,1395.9,1402.57,1217.01,993.97,1173.57,1186.09,980.9,987.57,803.97,603.97,835.97,924.93,1218.86,0,504.68,2715.84,2860.82,3163.43,2548.49,2274.14,1791.02,1825.47,1826.08,1826.08,3435.28,3737.95,2516.93,2205.47,2205.47,2209.41
14,1818.9,984.71,991.38,788.33,984.71,1389.44,881.42,569.71,576.38,373.33,594.71,1051.84,515.69,1434.73,504.68,0,2931.71,3076.69,3379.29,2764.36,2490.01,2006.88,2041.34,2041.95,2041.95,3651.14,3953.82,2732.8,2421.34,2421.34,2425.28
16,3390.69,3281.95,3288.62,3083.62,2858.62,2517.47,3485.08,3173.38,3180.04,2975.04,2775.04,1879.87,3119.35,1496.98,2715.84,2931.71,0,192.26,447.59,605.8,831.7,1332.19,1586.87,1789.51,1789.51,969.44,1272.11,1053.3,1563.86,1563.86,1768.86
17,3535.67,3426.93,3433.6,3228.6,3003.6,2662.45,3630.06,3318.36,3325.02,3120.02,2920.02,2024.85,3264.33,1641.96,2860.82,3076.69,192.26,0,385.13,443.92,715.34,1139.93,1401.6,1609.93,1609.93,1068.66,1371.33,861.04,1371.6,1371.6,1576.6
